Nama Produk,Harga Produk,Penjual,Kota Toko,Banyaknya Terjual,Rating Produk
Seblak Sultan instant,Rp14.000,Sultan Meat Shop,Medan,250.0,4.8
Kerupuk Bawang Warna 5 Kg (BALL) Kerupuk Seblak / Kerupuk Mentah / Ker,Rp86.300,Distributor Topping Baso Aci,Bandung,6.0,5.0
SEBLAK KERUPUK BETON / KERUPUK JAAT CIKRUH PEDAS DAUN JERUK 100GR KHAS BANDUNG,Rp9.500,snackmama_medan,Medan,2.0,5.0
KERUPUK SEBLAK RAFAEL KERING BANTAT PEDES DAUN JERUK 250gr,Rp18.000,AyundaSnack,Bandung,100.0,4.9
kerupuk seblak cikur,Rp15.500,U snack,Bogor,30.0,4.8
Kerupuk Seblak Kencur (S) 70gr / Snack Cemilan Camilan Krupuk Pedas,Rp6.700,Delish Snacks,Jakarta Barat,40.0,
Seblak Instan Premium Bangsatria,Rp32.000,MAKKRESS ENAK,Tangerang Selatan,,
Pasar Keripik Cimol Seblak Pedas size Kecil 130g,Rp12.500,,,500.0,4.9
Pasar Keripik Kerupuk Bawang Pedas size Besar,Rp24.500,,,250.0,5.0
Keripik Cireng Pedas Kripik Enak Gurih Renyah Size Kecil 100g,Rp12.500,,,500.0,4.9
Kerupuk Bawang Prima / Kerupuk Warna Warni / Krupuk Seblak 100gr,Rp8.000,food Service Ingredients,Jakarta Timur,,
Seblak Rempah Autentik isi 5 pcs,Rp63.000,Kylafood Jakarta,Jakarta Selatan,100.0,4.9
Kerupuk Seblak Rafael Pedas / Seblak Mawar Pedes - Duo Bocil Snack,Rp16.000,DUO BOCIL SNACK,Depok,250.0,4.9
Mamafuji - PROMO BUNDLING !!! SEBLAK & BAKSO ACI,Rp38.639,Mama Fuji Official,Tangerang,100.0,4.8
Paket Isi 6 Cuanki Instan Lakoca | Batagor Instan | Seblak Basah GFS,Rp93.840,Lakoca Official Shop,Cimahi,100.0,4.8
cuanki CIPET MINI isi 100pcs toping Baso aci cuanki seblak by GAIA (bi,Rp27.999,gaiagarut,Kab. Garut,60.0,5.0
KRUPUK / KERUPUK MENTAH / KERUPUK SEBLAK MENTAH 1kg MIE CIPLO,Rp22.000,SuperSnacksShop,Kab. Bandung,50.0,5.0
[ENDOSHOPID] 250 Gr Kerupuk Kepang Seblak Cuanki,Rp6.000,Endo Shop ID,Kab. Garut,40.0,5.0
Kylafood Mix Pentol Kuah dan Seblak Original,Rp50.000,kylafood,Bandung,70.0,4.9
Kerupuk krupuk Orange oren Seblak Ikan Udang Matahari Pagi MP mentah 250gr 250 gr gram,Rp5.600,PONCREA-Shop,Kab. Bandung Barat,,
